chemical_name,e_number,category,purpose,risk_level,health_concerns,safe_limit,aliases
Sorbitol,INS 420,Humectant,Sweetener and humectant,Low,May cause digestive issues,Moderate,"E420,Sorbitol"
Mannitol,INS 421,Humectant,Sweetener,Low,Digestive issues,Moderate,"E421,Mannitol"
Xylitol,INS 967,Humectant,Sweetener,Minimal,Generally safe,Within limits,"E967,Xylitol"
Maltitol,INS 965,Humectant,Sweetener,Low,Digestive issues,Moderate,"E965,Maltitol"
Isomalt,INS 953,Humectant,Sweetener,Low,Digestive issues,Moderate,"E953,Isomalt"
Lactitol,INS 966,Humectant,Sweetener,Low,Digestive issues,Moderate,"E966,Lactitol"
Polydextrose,INS 1200,Fiber,Dietary fiber,Minimal,Generally safe,Within limits,"E1200,Polydextrose"
Modified Starch,INS 1400,Starch,Thickener and stabilizer,Minimal,Generally safe,Within limits,"E1400,Modified Starch"
Modified Tapioca Starch,INS 1401,Starch,Thickener,Minimal,Generally safe,Within limits,"E1401,Modified Tapioca Starch"
Modified Corn Starch,INS 1402,Starch,Thickener,Minimal,Generally safe,Within limits,"E1402,Modified Corn Starch"
Acetylated Starch,INS 1410,Starch,Thickener,Minimal,Generally safe,Within limits,"E1410,Acetylated Starch"
Hydroxypropyl Starch,INS 1440,Starch,Thickener,Minimal,Generally safe,Within limits,"E1440,Hydroxypropyl Starch"
Phosphated Distarch Phosphate,INS 1413,Starch,Thickener,Low,High phosphorus concerns,Moderate,"E1413,Phosphated Distarch Phosphate"
Oxidized Starch,INS 1404,Starch,Thickener,Minimal,Generally safe,Within limits,"E1404,Oxidized Starch"
Monosodium Glutamate,INS 621,Flavor Enhancer,Enhances umami,Moderate,Headaches in sensitive individuals,Not frequent,"E621,MSG,Glutamate"
Disodium Inosinate,INS 631,Flavor Enhancer,Enhances meat flavor,Low,May contain purines,Moderate,"E631,Disodium Inosinate,IMP"
Disodium Guanylate,INS 627,Flavor Enhancer,Enhances umami,Low,May affect blood pressure,Moderate,"E627,Disodium Guanylate,GMP"
Ribonucleotides,INS 635,Flavor Enhancer,Flavor enhancer complex,Low,May contain purines,Moderate,"E635,Ribonucleotides,I+G"
Monopotassium Glutamate,INS 622,Flavor Enhancer,Flavor enhancer,Low,Similar to MSG,Moderate,"E622,MPG,Monopotassium Glutamate"
Calcium Glutamate,INS 623,Flavor Enhancer,Flavor enhancer,Low,Similar to MSG,Moderate,"E623,Calcium Glutamate"
Ammonium Chloride,INS 510,Flavor Enhancer,Flavoring agent,Low,Generally safe,Within limits,"E510,Ammonium Chloride"
Vanillin,INS 320,Flavor,Artificial vanilla flavor,Low,May cause allergic reactions,Moderate,"E320,Vanillin"
Ethyl Vanillin,INS 320,Flavor,Artificial vanilla flavor,Low,Generally safe,Moderate,"E320,Ethyl Vanillin"
Ethyl Maltol,INS 637,Flavor,Caramel flavoring,Low,Generally safe,Moderate,"E637,Ethyl Maltol"
Maltol,INS 636,Flavor,Caramel flavoring,Minimal,Generally safe,Within limits,"E636,Maltol"
Gamma-Decalactone,INS 1000,Flavor,Peach flavor,Minimal,Generally safe,Within limits,"E1000,Gamma-Decalactone"
Gamma-Nonalactone,INS 1000,Flavor,Coconut flavor,Minimal,Generally safe,Within limits,"E1000,Gamma-Nonalactone"
Delta-Decalactone,INS 1000,Flavor,Fruity flavor,Minimal,Generally safe,Within limits,"E1000,Delta-Decalactone"
Benzaldehyde,INS 1000,Flavor,Almond flavor,Low,May cause allergic reactions,Moderate,"E1000,Benzaldehyde"
Cinnamaldehyde,INS 1000,Flavor,Cinnamon flavor,Minimal,Generally safe,Within limits,"E1000,Cinnamaldehyde"
Eugenol,INS 1000,Flavor,Spice flavor,Low,May cause allergic reactions,Moderate,"E1000,Eugenol"
Linalool,INS 1000,Flavor,Floral flavor,Minimal,Generally safe,Within limits,"E1000,Linalool"
Menthol,INS 1000,Flavor,Mint flavor,Minimal,Generally safe,Within limits,"E1000,Menthol"
Menthyl Lactate,INS 1000,Flavor,Cooling agent,Minimal,Generally safe,Within limits,"E1000,Menthyl Lactate"
Corn Oil,INS 1000,Flavor,Flavoring carrier,Minimal,Generally safe,Within limits,"E1000,Corn Oil"
Sunflower Oil,INS 1000,Flavor,Flavoring carrier,Minimal,Generally safe,Within limits,"E1000,Sunflower Oil"
Rapeseed Oil,INS 1000,Flavor,Flavoring carrier,Minimal,Generally safe,Within limits,"E1000,Rapeseed Oil"
Natural Flavors,INS 1000,Flavor,Complex flavoring,Low,May contain allergens,Check labels,"E1000,Natural Flavors"
Artificial Flavors,INS 1000,Flavor,Synthetic flavoring,Low,May cause allergic reactions,Check labels,"E1000,Artificial Flavors"
Allura Red,INS 129,Color,Red coloring,High,Hyperactivity in children,Not recommended,"E129,Allura Red,FD&C Red 40"
Tartrazine,INS 102,Color,Yellow coloring,Moderate,Hyperactivity,hives in sensitive people,Limited,"E102,Tartrazine,FD&C Yellow 5"
Sunset Yellow,INS 110,Color,Orange-yellow coloring,Moderate,Hyperactivity,Limited,"E110,Sunset Yellow,FD&C Yellow 6"
Carmoisine,INS 122,Color,Red coloring,Moderate,Hyperactivity in children,Limited,"E122,Carmoisine,Azorubine"
Amaranth,INS 123,Color,Red-violet coloring,High,Controversial,Not recommended,"E123,Amaranth,FD&C Red 2"
Ponceau 4R,INS 124,Color,Red coloring,Moderate,Hyperactivity,Limited,"E124,Ponceau 4R,Cochenille Red"
Erythrosine,INS 127,Color,Pink-red coloring,High,Thyroid issues,Not recommended,"E127,Erythrosine,FD&C Red 3"
Red 2G,INS 128,Color,Red coloring,High,Potential carcinogen,Not recommended,"E128,Red 2G,Allura Red AC"
Patent Blue V,INS 131,Color,Blue coloring,Moderate,Allergic reactions,Limited,"E131,Patent Blue V"
Indigo Carmine,INS 132,Color,Blue coloring,Low,Hyperactivity,Limited,"E132,Indigo Carmine,FD&C Blue 2"
Brilliant Blue FCF,INS 133,Color,Blue coloring,Low,Hyperactivity,Limited,"E133,Brilliant Blue FCF,FD&C Blue 1"
Green S,INS 142,Color,Green coloring,Low,Hyperactivity,Limited,"E142,Green S,Brilliant Green"
Fast Green FCF,INS 143,Color,Green coloring,Low,Hyperactivity,Limited,"E143,Fast Green FCF,FD&C Green 3"
Black PN,INS 151,Color,Black coloring,Moderate,Hyperactivity,Limited,"E151,Black PN,Brilliant Black"
Brilliant Black,INS 151,Color,Black coloring,Moderate,Hyperactivity,Limited,"E151,Brilliant Black,Black PN"
Brown FK,INS 154,Color,Brown coloring,Moderate,Allergic reactions,Limited,"E154,Brown FK"
Chocolate Brown HT,INS 155,Color,Brown coloring,Moderate,Hyperactivity,Limited,"E155,Chocolate Brown HT"
Curcumin,INS 100,Color,Yellow coloring,Minimal,Generally safe,Within limits,"E100,Curcumin,Turmeric"
Turmeric,INS 100,Color,Yellow coloring,Minimal,Generally safe,Within limits,"E100,Turmeric,Curcumin"
Riboflavin,INS 101,Color,Yellow-orange coloring,Minimal,Generally safe,Within limits,"E101,Riboflavin,Vitamin B2"
Riboflavin-5-Phosphate,INS 101,Color,Yellow coloring,Minimal,Generally safe,Within limits,"E101,Riboflavin-5-Phosphate"
Beta-apo-8-carotenal,INS 160e,Color,Orange-red coloring,Minimal,Generally safe,Within limits,"E160e,Beta-apo-8-carotenal"
Mixed Carotenoids,INS 160,Color,Orange-red coloring,Minimal,Generally safe,Within limits,"E160,Mixed Carotenoids"
Lycopene,INS 160d,Color,Red coloring,Minimal,Generally safe,Within limits,"E160d,Lycopene"
Red Cabbage Anthocyanins,INS 163,Color,Red-purple coloring,Minimal,Generally safe,Within limits,"E163,Red Cabbage Anthocyanins"
Grape Skin Extract,INS 163,Color,Red coloring,Minimal,Generally safe,Within limits,"E163,Grape Skin Extract"
Blackcurrant Extract,INS 163,Color,Purple coloring,Minimal,Generally safe,Within limits,"E163,Blackcurrant Extract"
Spiranthin,INS 164,Color,Orange-red coloring,Minimal,Generally safe,Within limits,"E164,Spiranthin"
Tartaric Acid Esters,INS 472,Emulsifier,Emulsifier,Minimal,Generally safe,Within limits,"E472,Tartaric Acid Esters"
Calcium Tartrate,INS 354,Acid,Tartrate source,Minimal,Generally safe,Within limits,"E354,Calcium Tartrate"
Potassium Tartrate,INS 336,Acid,Tartrate source,Minimal,Generally safe,Within limits,"E336,Potassium Tartrate"
Sodium Tartrate,INS 335,Acid,Tartrate source,Minimal,Generally safe,Within limits,"E335,Sodium Tartrate"
Potassium Sodium Tartrate,INS 337,Acid,Tartrate source,Minimal,Generally safe,Within limits,"E337,Potassium Sodium Tartrate"
Sodium Fumarate,INS 365,Acid,Fumarate source,Minimal,Generally safe,Within limits,"E365,Sodium Fumarate"
Potassium Fumarate,INS 366,Acid,Fumarate source,Minimal,Generally safe,Within limits,"E366,Potassium Fumarate"
Calcium Fumarate,INS 367,Acid,Fumarate source,Minimal,Generally safe,Within limits,"E367,Calcium Fumarate"
Ammonium Alginate,INS 403,Thickener,Seaweed extract,Minimal,Generally safe,Within limits,"E403,Ammonium Alginate"
Potassium Alginate,INS 404,Thickener,Seaweed extract,Minimal,Generally safe,Within limits,"E404,Potassium Alginate"
Calcium Alginate,INS 405,Thickener,Seaweed extract,Minimal,Generally safe,Within limits,"E405,Calcium Alginate"
Propylene Glycol Alginate,INS 405,Thickener,Seaweed extract,Minimal,Generally safe,Within limits,"E405,Propylene Glycol Alginate"
Sodium Carboxymethyl Cellulose,INS 466,Thickener,Cellulose derivative,Low,May affect nutrient absorption,Moderate,"E466,CMC,Sodium Carboxymethyl Cellulose"
Microcrystalline Cellulose,INS 460,Thickener,Plant fiber,Minimal,Generally safe,Within limits,"E460,Microcrystalline Cellulose"
Powdered Cellulose,INS 460,Thickener,Plant fiber,Minimal,Generally safe,Within limits,"E460,Powdered Cellulose"
Methyl Cellulose,INS 461,Thickener,Plant fiber,Minimal,Generally safe,Within limits,"E461,Methyl Cellulose"
Hydroxypropyl Cellulose,INS 463,Thickener,Plant fiber,Minimal,Generally safe,Within limits,"E463,Hydroxypropyl Cellulose"
Hydroxypropyl Methyl Cellulose,INS 464,Thickener,Plant fiber,Minimal,Generally safe,Within limits,"E464,HPMC,Hypromellose"
Methyl Ethyl Cellulose,INS 465,Thickener,Plant fiber,Minimal,Generally safe,Within limits,"E465,Methyl Ethyl Cellulose"
Carob Bean Gum,INS 410,Thickener,Plant seed gum,Minimal,Generally safe,Within limits,"E410,Carob Bean Gum"
Tara Gum,INS 417,Thickener,Plant seed gum,Minimal,Generally safe,Within limits,"E417,Tara Gum"
Gellan Gum,INS 418,Thickener,Bacterial gum,Minimal,Generally safe,Within limits,"E418,Gellan Gum"
Pullulan,INS 1204,Thickener,Fungal polysaccharide,Minimal,Generally safe,Within limits,"E1204,Pullulan"
Wheat Dextrin,INS 1400,Fiber,Dietary fiber,Minimal,Generally safe,Within limits,"E1400,Wheat Dextrin"
Inulin,INS 900,Fiber,Dietary fiber,Minimal,Generally safe,Within limits,"E900,Inulin"
Oligofructose,INS 900,Fiber,Dietary fiber,Minimal,Generally safe,Within limits,"E900,Oligofructose"
Resistant Dextrin,INS 900,Fiber,Dietary fiber,Minimal,Generally safe,Within limits,"E900,Resistant Dextrin"
Sodium Cyclamate,INS 952,Artificial Sweetener,Artificial sweetener,Moderate,Possible carcinogen,Not recommended,"E952,Cyclamate"
Acesulfame Potassium,INS 950,Artificial Sweetener,Artificial sweetener,Low,May affect blood sugar control,Moderate,"E950,Ace-K,Acesulfame K"
Aspartame,INS 951,Artificial Sweetener,Artificial sweetener,Low,Phenylketonuria concerns,Moderate,"E951,Aspartame"
Saccharin,INS 954,Artificial Sweetener,Artificial sweetener,Low,Controversial,Moderate,"E954,Saccharin"
Sucralose,INS 955,Artificial Sweetener,Artificial sweetener,Low,May affect gut bacteria,Moderate,"E955,Sucralose"
Neotame,INS 961,Artificial Sweetener,Artificial sweetener,Low,Similar to aspartame,Moderate,"E961,Neotame"
Advantame,INS 969,Artificial Sweetener,Artificial sweetener,Low,Generally safe,Moderate,"E969,Advantame"
Steviol Glycosides,INS 960,Natural Sweetener,Natural sweetener,Minimal,Generally safe,Within limits,"E960,Steviol Glycosides,Stevia"
Rebiana,INS 960,Natural Sweetener,Natural sweetener,Minimal,Generally safe,Within limits,"E960,Rebiana,Stevia"
Mogrosides,INS 960,Natural Sweetener,Natural sweetener,Minimal,Generally safe,Within limits,"E960,Mogrosides,Monk Fruit"
Thaumatin,INS 957,Natural Sweetener,Natural sweetener,Minimal,Generally safe,Within limits,"E957,Thaumatin"
Neohesperidin Dihydrochalcone,INS 959,Natural Sweetener,Natural sweetener,Minimal,Generally safe,Within limits,"E959,Neohesperidin DC"
Sodium Saccharin,INS 954,Artificial Sweetener,Artificial sweetener,Low,Controversial,Moderate,"E954,Sodium Saccharin"
Calcium Saccharin,INS 954,Artificial Sweetener,Artificial sweetener,Low,Controversial,Moderate,"E954,Calcium Saccharin"
Aspartame-Acesulfame Salt,INS 962,Artificial Sweetener,Combined sweetener,Low,May affect blood sugar,Moderate,"E962,Aspartame-Acesulfame Salt"
Salt,INS 500,Flavor,Basic seasoning,Low,High blood pressure concerns,Moderate,"E500,Salt,Sodium Chloride"
Sodium Chloride,INS 500,Flavor,Basic seasoning,Low,High blood pressure,Moderate,"E500,Sodium Chloride,Table Salt"
Potassium Chloride,INS 508,Flavor,Salt substitute,Minimal,Generally safe,Within limits,"E508,Potassium Chloride"
Calcium Chloride,INS 509,Flavor,Firming agent,Minimal,Generally safe,Within limits,"E509,Calcium Chloride"
Magnesium Chloride,INS 511,Flavor,Flavor enhancer,Minimal,Generally safe,Within limits,"E511,Magnesium Chloride"
Ammonium Chloride,INS 510,Flavor,Flavoring agent,Minimal,Generally safe,Within limits,"E510,Ammonium Chloride"
Monosodium Glutamate,INS 621,Flavor Enhancer,Flavor enhancer,Moderate,MSG symptom complex,Not frequent,"E621,MSG,Glutamic Acid"
Disodium Guanylate,INS 627,Flavor Enhancer,Flavor enhancer,Low,Generally safe,Moderate,"E627,Disodium Guanylate"
Disodium Inosinate,INS 631,Flavor Enhancer,Flavor enhancer,Low,May affect blood pressure,Moderate,"E631,Disodium Inosinate"
Calcium 5-Ribonucleotides,INS 634,Flavor Enhancer,Flavor enhancer,Low,May contain purines,Moderate,"E634,Calcium 5-Ribonucleotides"
Sodium 5-Ribonucleotides,INS 635,Flavor Enhancer,Flavor enhancer,Low,May contain purines,Moderate,"E635,Sodium 5-Ribonucleotides"
Yeast Extract,INS 700,Flavor Enhancer,Natural flavor enhancer,Low,May contain glutamates,Check labels,"E700,Yeast Extract"
